Q_ID,Quote text,C_ID,Chapter ,country_region,tag:harm,tag:operational_impact,tag:response_strategy,tag:governance
1,"...harmful information did not directly hinder the humanitarian response; it was not an obstacle to providing assistance. However, it undoubtedly had an impact on the people involved in the response by creating an extraordinary workload dedicated to denying; explaining or minimizing the impact of harmful information, causing emotional distress and even doubts about the organization, both within society and among Spanish Red Cross members; undermining public trust, with some donors questioning the organization.",1,CH1,Spain,Psychological; Societal ,Programme effectiveness and accountability ,,
2,"Migrants were also targeted in the harmful information – these posts inevitably fuelled xenophobia – but in this case, they were used more as a tool to target the Spanish Red Cross.",1,CH1,Spain,Social; Societal,,,
3,"Another common source of mistrust was the use of unclear or overly technical language. Studies from Eswatini, Albania and Nepal showed that early warnings often relied on jargon, unfamiliar terminology or were not translated into local languages. When messages are difficult to understand or feel irrelevant to local realities, they become inaccessible – and trust quickly breaks down.",32,CH3,"Albania, Nepal, Eswatini",Informational,Distorted needs and demand signals,,
4,"... access to accurate, practical information ...[is]... crucial to reducing exploitation and ensuring safer journeys. Without it, many migrants are forced to rely on unverified sources of information. As one migrant in Australia highlighted: “… we suffer from dodgy [unreliable] information provided to us by migration agents, for example”",28,CH3,Australia,Informational; Deprivational/financial/economic,,Information as aid ,
5,"Misinformation and disinformation about migrants also impact their safety, dignity and well-being by shaping public opinion and policy. ... In countries where migrants are portrayed as threats, public discourse tends to support more restrictive migration policies and reduced access to essential services, increasing vulnerability.",28,CH3,,Social; Societal,,,Regulation and public policy frameworks 
6,"Tackling misinformation must be treated as a humanitarian priority. This requires equitable, inclusive and culturally informed communication systems.",88,CH8,Australia,,Programme effectiveness and accountability,,Humanitarian principles and neutrality
7,"Recovering from this reputational risk requires more than image management. It has called for a long-term effort to reinforce institutional independence, diversify governance and rebuild public trust.",8,CH1,Bangladesh,Societal ,,,
8,"Misinformation and disinformation travel in and around the camps through commonly used platforms: Facebook, WhatsApp/IMO app, YouTube/TikTok, as well as offline phone-to-phone sharing (Bluetooth/SHAREit). Despite humanitarian organizations’ efforts to set up rumour-tracking initiatives in Cox’s Bazar to counter these dynamics, these have been deprioritized in successive funding cuts since 2021.",39,CH4,Bangladesh,Informational ,Programme effectiveness and accountability,Rumour tracking and early warning,
9,"“They had the same information from other doctors ... but they always believed in what people close to them said... their [reasoning was]: if COVID was similar to a cold and in the past herbs cured them, the same could be used with COVID ... we are not irrational, we continue to base ourselves on facts and experiences.”",69,CH6,Bolivia,,,Trusted messengers and local intermediaries,
10,"During the cash and voucher assistance distribution process, a call centre was established. However, some people contacted to receive their codes feared the calls might be part of a telephone scam – an occurrence that is relatively common in the country.",85,CH7,Bolivia,Deprivational/financial/economic,Distorted needs and demand signals,,
11,"a lack of clear differentiation between official alerts and misinformation created confusion and undermined confidence in the warnings. Without recognisable formats or clear source attribution, people struggled to verify which messages were credible and what guidance to follow.",32,CH3,Brazil,Informational ,Distorted needs and demand signals,,
12,"The Bulgarian Red Cross’ causes and campaigns enjoy high visibility and recognition, along with strong trust among large businesses and it holds a dominant position over other charitable organizations nationally – an advantage that should be preserved.",44,CH4,Bulgaria,Societal,,,
13,"The negative reactions were triggered by the organization’s policy to accept only new items during its public donation campaign for people affected by the conflict arriving in Bulgaria. Criticism focused on why used goods were not accepted, and risked undermining public trust.",44,CH4,Bulgaria,Societal,,,
14,"The shrinking humanitarian space is no longer just a metaphor – it is a measurable, digital phenomenon with direct operational consequences offline.",21,CH2,Burkina Faso,Societal,,,
15,The stark difference in public sentiment toward local leaders versus institutional figures reflected complex dynamics and it is not always clear how much of the reaction is organic or coordinated.,30,CH3,Burkina Faso,Informational ,,,
16,"Trust within communities is fluctuating. ... Nevertheless, close ties remain important landmarks, even if the rapid circulation of word-of-mouth [information] can strengthen solidarity as well as sow mistrust",69,CH6,Cameroon,Social,,,
