key,value
report.categories[0],التقرير السنوي
report.categories[1],استراتيجية
report.categories[2],صندوق الإغاثة في حالات الكوارث (DREF)
report.categories[3],نداءات الطوارئ
report.categories[4],إدارة الكوارث
report.categories[5],الصحة والرعاية
report.categories[6],تطوير الجمعية الوطنية
report.categories[7],تغير المناخ
report.categories[8],الهجرة
report.categories[9],المناصرة
report.categories[10],أخرى
report.reports.wdr25.author,أمانة الاتحاد الدولي لجمعيات الصليب الأحمر والهلال الأحمر
report.reports.wdr25.category,تقرير سنوي
report.reports.wdr25.chapters.الفصل-02.metadata.chapterKey,chapter-02
report.reports.wdr25.chapters.الفصل-02.metadata.chapterNumber,2
report.reports.wdr25.chapters.الفصل-02.metadata.chapterPrefix,الفصل 02
report.reports.wdr25.chapters.الفصل-02.title,""
report.reports.wdr25.chapters.الفصل-02.subtitle,""
report.reports.wdr25.chapters.الفصل-02.audios[0].id,intro
report.reports.wdr25.chapters.الفصل-02.audios[0].name,الفصل 02 - نظرة عامة
report.reports.wdr25.chapters.الفصل-02.audios[0].duration,02:31
report.reports.wdr25.chapters.الفصل-02.audios[0].url,https://www.learningcontainer.com/wp-content/uploads/2020/02/Kalimba.mp3
report.reports.wdr25.chapters.الفصل-02.audios[1].id,section-1
report.reports.wdr25.chapters.الفصل-02.audios[1].name,القسم 1: النتائج الرئيسية
report.reports.wdr25.chapters.الفصل-02.audios[1].duration,04:12
report.reports.wdr25.chapters.الفصل-02.audios[1].url,https://samplelib.com/lib/preview/mp3/sample-15s.mp3
report.reports.wdr25.chapters.الفصل-02.videos[0].id,summary
report.reports.wdr25.chapters.الفصل-02.videos[0].name,ملخص الفصل
report.reports.wdr25.chapters.الفصل-02.videos[0].duration,03:45
report.reports.wdr25.chapters.الفصل-02.videos[0].url,https://www.youtube.com/watch?v=o8NiE3XMPrM
report.reports.wdr25.chapters.الفصل-02.videos[0].thumbnail,/window.svg
report.reports.wdr25.description,التقرير السنوي للاتحاد الدولي لجمعيات الصليب الأحمر والهلال الأحمر لعام 2025، الذي يستعرض الاستجابة العالمية للكوارث والجهود الإنسانية.
report.reports.wdr25.featuredVideos[0].id,1
report.reports.wdr25.featuredVideos[0].title,دليل سريع لتطبيق Limitless
report.reports.wdr25.featuredVideos[0].description,هل تواجه مشكلة في التقديم على برنامج Limitless؟ هل لا تعرف من أين تبدأ؟ لا تقلق. Zikomo هنا لتخبرك بكيفية ومكان التقديم لأكاديمية IFRC Limitless للابتكار الشبابي 2024
report.reports.wdr25.featuredVideos[0].url,https://www.youtube.com/watch?v=k5WL45qWU78
report.reports.wdr25.featuredVideos[1].id,2
